연번,군구명,병원종별,의료기관명,소재지,연락처,병실수,병상수,진료과목,비고
164,중구,의원,참이비인후과의원,"인천광역시 중구 흰바위로 41, 2층 (운서동)",032-746-7578,0,0,내과 이비인후과 소아청소년과,
165,중구,의원,열린이비인후과의원,"인천광역시 중구 우현로 75 (인현동,명훈빌딩 5층)",032-765-7510,0,0,이비인후과 내과 소아청소년과,
166,중구,의원,운서성모정형외과의원,"인천광역시 중구 영종대로 118, 3층 (운서동)",032-746-7725,0,0,내과 외과 정형외과 신경외과 마취통증의학과 피부과 비뇨의학과,
167,중구,의원,다본안과의원,"인천광역시 중구 우현로 47, 2~3층 (신포동)",032-763-6633,1,2,안과,
168,중구,의원,해맑은의원,"인천광역시 중구 신도시남로 137, 4층 (운서동)",032-751-6543,0,0,가정의학과 비뇨의학과 피부과,
169,중구,의원,모아연합소아청소년과의원,"인천광역시 중구 흰바위로 51, 3층 (운서동)",032-751-8275,0,0,내과 마취통증의학과 소아청소년과 이비인후과 피부과,
170,중구,의원,온누리내과의원,"인천광역시 중구 신도시남로 137, 2~3층 (운서동)",032-747-0470,0,0,내과 소아청소년과 이비인후과,
171,중구,의원,김훈수내과의원,"인천광역시 중구 제물량로 65, 3층 (신흥동3가)",032-889-3378,0,0,내과 소아청소년과 이비인후과 피부과,
172,중구,의원,연세참가정의학과의원,"인천광역시 중구 우현로 47, 4층 (신포동)",032-766-0075,0,0,내과 외과 정형외과 신경외과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과,
173,중구,의원,아이본산부인과의원,인천광역시 중구 참외전로 160-1 (경동),032-772-7474,0,0,산부인과 소아청소년과 가정의학과,
174,중구,의원,연세비뇨기과의원,"인천광역시 중구 우현로 86, 2층 (인현동)",032-766-6363,0,0,피부과 비뇨의학과,
175,중구,의원,신제일산부인과의원,"인천광역시 중구 신도시남로 137, 화평빌딩 4층 401,402호 (운서동)",032-751-1119,0,0,내과 외과 정형외과 산부인과 소아청소년과 안과 피부과,
176,중구,의원,베스트이비인후과의원,"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 207호,208호일부)",032-752-7582,0,0,내과 소아청소년과 안과 이비인후과 피부과,
177,중구,의원,신흥메디칼의원,인천광역시 중구 도원로7번길 11 (신흥동3가),032-885-7582,2,2,내과 외과 정형외과 소아청소년과 피부과 비뇨의학과 병리과,
178,중구,의원,주내과의원,"인천광역시 중구 흰바위로 31, 2층 (운서동)",032-751-7582,0,0,내과 소아청소년과 이비인후과 피부과,
179,중구,의원,유밸안과의원,"인천광역시 중구 우현로 90, 유타워, 유밸 눈편한안과 4,5,6층 (인현동)",032-762-0088,1,4,안과,
180,중구,의원,인천국제공항의원,인천광역시 중구 공항로 272 (운서동),032-743-3119,0,0,내과 외과 정형외과 신경외과 소아청소년과 피부과 비뇨의학과 재활의학과 가정의학과 응급의학과,
181,중구,의원,고정선정신건강의학과의원,"인천광역시 중구 참외전로 134, 3,4층 (인현동)",032-777-1182,0,0,신경과 정신건강의학과,
182,중구,의원,서울외과의원,"인천광역시 중구 운남로 169, 2층 (운남동)",032-746-7582,0,0,내과 외과 정형외과 신경외과 소아청소년과 피부과 비뇨의학과 가정의학과,
183,중구,의원,삼성내과의원,"인천광역시 중구 서해대로 476, 우정빌딩 1층 (유동)",032-762-1137,0,0,내과 소아청소년과 이비인후과 피부과 비뇨의학과,
184,중구,의원,신포김내과의원,"인천광역시 중구 우현로39번길 2, 2층 (신포동)",032-777-0902,0,0,내과 소아청소년과,
185,중구,의원,금강정형외과의원,인천광역시 중구 서해대로494번길 1 (유동),032-881-7541,7,13,내과 외과 정형외과 신경외과 소아청소년과 피부과 비뇨의학과 재활의학과,
186,중구,의원,연안의원,인천광역시 중구 연안부두로33번길 16 (항동7가),032-888-0033,0,0,내과 외과 소아청소년과 피부과,
187,중구,의원,윤비뇨기과의원,"인천광역시 중구 우현로 90-1, 3층 (인현동)",032-762-8540,0,0,성형외과 피부과 비뇨의학과,
188,중구,의원,송재현가정의원,인천광역시 중구 연안부두로33번길 36 (항동7가),032-887-5775,0,0,내과 신경과 외과 정형외과 산부인과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과,
189,중구,의원,피터팬소아청소년과의원,"인천광역시 중구 하늘달빛로 94, 408호 (중산동)",032-751-0306,0,0,내과 소아청소년과 안과 이비인후과 피부과 비뇨의학과,
190,중구,의원,이재준내과의원,인천광역시 중구 축항대로86번길 38 (항동7가),032-883-6347,0,0,내과 소아청소년과 피부과 비뇨의학과,
191,중구,의원,정원진성형외과의원,"인천광역시 중구 개항로 64, 2층 (경동)",032-763-5505,0,0,성형외과,
192,중구,의원,김원택성형외과의원,인천광역시 중구 우현로 34 (답동),032-761-6111,0,0,성형외과,
193,중구,의원,김의원,인천광역시 중구 우현로 61-1 (내동),032-772-4346,0,0,피부과 비뇨의학과 가정의학과,
194,중구,의원,예스율산부인과의원,"인천광역시 중구 영종대로 184, 3층 301호 (운서동)",032-218-1007,0,0,산부인과,
195,중구,치과의원,영종센트럴치과의원,"인천광역시 중구 흰바위로 258, 405,406호 (운남동)",032-710-5622,0,0,통합치의학과 예방치과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
196,중구,치과의원,바른손치과의원,"인천광역시 중구 연안부두로33번길 27, 2층 (항동7가)",032-881-2755,0,0,치과보철과 치주과 치과보존과 구강내과 예방치과 통합치의학과,
197,중구,치과의원,예스서울치과의원,"인천광역시 중구 영종대로 184, 402호,403호 일부 (운서동)",032-752-9728,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
198,중구,치과의원,영종디지털치과의원,"인천광역시 중구 하늘별빛로 71, 타임프라자 202~203호 (중산동)",032-752-2879,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
199,중구,치과의원,하늘별빛어린이치과의원,"인천광역시 중구 자연대로 47, 스타타워2 506호 (중산동)",032-715-7272,0,0,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
200,중구,치과의원,연세세브란스치과의원,"인천광역시 중구 우현로 93, 빙고,티월드,성신디지털카메라 2,3,4층 (인현동)",032-237-7575,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
201,중구,치과의원,영종웰치과의원,"인천광역시 중구 하늘달빛로 94, 대지스타타워 505, 506호 (중산동)",032-747-0275,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
202,중구,치과의원,운서조은사람치과의원,"인천광역시 중구 흰바위로 37, 영종프라자 401호 (운서동)",032-751-2877,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
203,중구,치과의원,더(THE)착한치과의원,"인천광역시 중구 우현로39번길 4-2, 1,2층 (신포동)",032-777-2877,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과,
204,중구,치과의원,하늘퍼스트치과의원,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 202호 (중산동)",032-752-9881,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
205,중구,치과의원,영종국제치과의원,"인천광역시 중구 하늘별빛로65번길 7-9, 403호 (중산동)",032-225-2879,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
206,중구,치과의원,영종시카고치과교정과치과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 301~2호 (중산동)",032-215-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
207,중구,치과의원,디지털타임치과의원,"인천광역시 중구 우현로 93-1, 대한서림,뚜레쥬르 4,5,6층 (인현동)",032-777-7579,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 치과,
208,중구,치과의원,서울더(THE)좋은치과의원,"인천광역시 중구 하늘별빛로 59, 4층 (중산동)",032-746-9225,0,0,치과,
209,중구,치과의원,서울하늘치과의원,인천광역시 중구 운남로 168 (운남동),032-764-2804,0,0,예방치과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
210,중구,치과의원,하늘리더스치과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 5층 505호 (중산동)",032-751-2840,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 영상치의학과 구강병리과 예방치과 통합치의학과,
211,중구,치과의원,이(e)연세치과의원,"인천광역시 중구 인중로 134, 동인천이마트 3층 (신생동)",032-710-2836,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
212,중구,치과의원,하늘수치과의원,"인천광역시 중구 자연대로 47, 스타타워2 406호 (중산동)",032-752-2875,0,0,치과보존과 치주과 치과보철과 구강악안면외과 치과,
213,중구,치과의원,큐프라임인하치과의원,"인천광역시 중구 인항로 42, 3층 (신흥동3가)",032-883-2080,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
214,중구,치과의원,더본플란트치과의원,"인천광역시 중구 우현로 34, 4층 (답동)",032-772-7528,0,0,치과,
215,중구,치과의원,엘(L)-아름다운치과의원,"인천광역시 중구 흰바위로 51, 3층 (운서동)",032-751-2275,0,0,치과,
216,중구,치과의원,굿모닝치과의원,"인천광역시 중구 참외전로 117-9, 2층 (인현동)",032-761-6048,0,0,치과,
217,중구,치과의원,상아플러스치과의원,"인천광역시 중구 우현로 75, 3층 (인현동)",032-772-2877,0,0,치과,
218,중구,치과의원,건치과의원,"인천광역시 중구 제물량로 65, 3층 (신흥동3가)",032-887-7582,0,0,치과,
219,중구,치과의원,이사랑치과의원,"인천광역시 중구 흰바위로 31, 3층 (운서동)",032-751-2875,0,0,치과,
220,중구,치과의원,더웰치과의원,"인천광역시 중구 인항로 34, 현대상가 304,405호 (신흥동3가)",032-886-2875,0,0,치과,
221,중구,치과의원,노블치과의원,"인천광역시 중구 흰바위로 41, 3층 (운서동)",032-746-2275,0,0,치과,
222,중구,치과의원,이플란트치과의원,"인천광역시 중구 신도시남로 137, 3층 (운서동)",032-746-2804,0,0,치과,
223,중구,치과의원,김영열치과의원,"인천광역시 중구 운중로 19, 2층 (운남동)",032-746-2875,0,0,치과,
224,중구,치과의원,오영천치과의원,"인천광역시 중구 우현로 61, 2층 (내동)",032-772-5724,0,0,치과,
225,중구,치과의원,박선희치과의원,"인천광역시 중구 참외전로 134, 2층 (인현동)",032-762-6980,0,0,치과,
226,중구,치과의원,김경란치과의원,인천광역시 중구 연안부두로53번길 35 (항동7가),032-887-4888,0,0,치과,
227,중구,치과의원,최현수치과의원,인천광역시 중구 우현로 41-1 (신포동),032-762-2649,0,0,치과,
228,중구,치과의원,이규원치과의원,"인천광역시 중구 우현로 66, 3층 (용동)",032-766-7757,0,0,통합치의학과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 치과,
